,Description,clips,category,key_word
90,Car keys put down on wooden table.,new_clips2/90.mp3,trash,car
91,Car keys dropped on glass table.,new_clips2/91.mp3,trash,car
92,Car keys down put down on carpeted floor.,new_clips2/92.mp3,trash,car
93,Bunch of keys thrown on wooden table.,new_clips2/93.mp3,metal,keys
94,Bunch of keys thrown on tiled floor.,new_clips2/94.mp3,metal,keys
95,Bunch of keys thrown on carpeted floor.,new_clips2/95.mp3,metal,keys
96,Bunch of keys thrown on a glass table.,new_clips2/96.mp3,metal,keys
97,Bunch of keys thrown into drawer.,new_clips2/97.mp3,metal,keys
98,Bunch of keys drops on tiled floor.,new_clips2/98.mp3,metal,keys
99,Bunch of keys drops on sofa.,new_clips2/99.mp3,metal,keys
100,Bunch of keys drops on concrete floor.,new_clips2/100.mp3,metal,keys
101,Bunch of keys dropped on wooden table.,new_clips2/101.mp3,metal,keys
102,Bunch of keys dropped on carpeted floor.,new_clips2/102.mp3,metal,keys
103,Bunch of keys dropped on a glass table.,new_clips2/103.mp3,metal,keys
104,Bunch of keys dropped into drawer.,new_clips2/104.mp3,metal,keys
105,Chalk dropping various.,new_clips2/105.mp3,trash,chalk
106,Case dropped on U-Bahn platform.,new_clips2/106.mp3,trash,case
107,Wood sticks dropping on wood tabletop 5.,new_clips2/107.mp3,wood,wood
108,Wood sticks dropping on wood tabletop 4.,new_clips2/108.mp3,wood,wood
109,Wood sticks dropping on wood tabletop 3.,new_clips2/109.mp3,wood,wood
110,Wood sticks dropping on wood tabletop 2.,new_clips2/110.mp3,wood,wood
111,Wood sticks dropping on wood tabletop 1.,new_clips2/111.mp3,wood,wood
112,Wood sticks on dropping on concrete single stick.,new_clips2/112.mp3,wood,wood
113,Wood sticks on dropping on concrete 6.,new_clips2/113.mp3,wood,wood
114,Wood sticks on dropping on concrete 5.,new_clips2/114.mp3,wood,wood
115,Wood sticks on dropping on concrete 4.,new_clips2/115.mp3,wood,wood
116,Wood sticks on dropping on concrete 3.,new_clips2/116.mp3,wood,wood
117,Wood sticks on dropping on concrete 2.,new_clips2/117.mp3,wood,wood
118,Wood sticks on dropping on concrete 1.,new_clips2/118.mp3,wood,wood
119,"Tortilla press lever dropping and bouncing, fast 4.",new_clips2/119.mp3,trash,tortilla
120,"Tortilla press lever dropping and bouncing, fast 3.",new_clips2/120.mp3,trash,tortilla
121,"Tortilla press lever dropping and bouncing, fast 2.",new_clips2/121.mp3,trash,tortilla
122,"Tortilla press lever dropping and bouncing, fast 1.",new_clips2/122.mp3,trash,tortilla
123,Tortilla press lever dropping and bouncing 4.,new_clips2/123.mp3,trash,tortilla
124,Tortilla press lever dropping and bouncing once.,new_clips2/124.mp3,trash,tortilla
125,Tortilla press lever dropping and bouncing 3.,new_clips2/125.mp3,trash,tortilla
126,Tortilla press lever dropping and bouncing 2.,new_clips2/126.mp3,trash,tortilla
127,Tortilla press lever dropping and bouncing 1.,new_clips2/127.mp3,trash,tortilla
128,Silverware dropping on concrete 4.,new_clips2/128.mp3,metal,silverware
129,Silverware dropping on concrete 3.,new_clips2/129.mp3,metal,silverware
130,Silverware dropping on concrete 2.,new_clips2/130.mp3,metal,silverware
131,Silverware dropping on concrete 1.,new_clips2/131.mp3,metal,silverware
132,Nails on wood tabletop dropping 11.,new_clips2/132.mp3,trash,nails
133,Nails on wood tabletop dropping 10.,new_clips2/133.mp3,trash,nails
134,Nails on wood tabletop dropping 9.,new_clips2/134.mp3,trash,nails
135,Nails on wood tabletop dropping 8.,new_clips2/135.mp3,trash,nails
136,Nails on wood tabletop dropping 7.,new_clips2/136.mp3,trash,nails
137,Nails on wood tabletop dropping 6.,new_clips2/137.mp3,trash,nails
138,Nails on wood tabletop dropping 4.,new_clips2/138.mp3,trash,nails
139,Nails on wood tabletop dropping 3.,new_clips2/139.mp3,trash,nails
140,Nails on wood tabletop dropping 2.,new_clips2/140.mp3,trash,nails
141,Nails on wood tabletop dropping 1.,new_clips2/141.mp3,trash,nails
142,Dropping a storage box on a hard surface 02.,new_clips2/142.mp3,cardboard,storage
143,Dropping a storage box on a hard surface 01.,new_clips2/143.mp3,cardboard,storage
144,Dropping small cards on a table.,new_clips2/144.mp3,trash,cards
145,Dropping a small box on a table many times.,new_clips2/145.mp3,cardboard,box
146,Dropping on a small pile of cards on a table 4.,new_clips2/146.mp3,trash,cards
147,Dropping on a small pile of cards on a table 3.,new_clips2/147.mp3,trash,cards
148,Dropping on a small pile of cards on a table 2.,new_clips2/148.mp3,trash,cards
149,Dropping on a small pile of cards on a table 1.,new_clips2/149.mp3,trash,cards
150,"Dropping on a pile of cards on a table, various versions.",new_clips2/150.mp3,trash,cards
151,Dropping on a pile of cards on a table.,new_clips2/151.mp3,trash,cards
152,"Dropping a medium box on the table, various versions.",new_clips2/152.mp3,cardboard,box
153,Dropping a cigarette pack on a table.,new_clips2/153.mp3,trash,cigarette
154,Dropping a paper ball many times on the floor.,new_clips2/154.mp3,paper,paper
155,Dropping a large box many times on a hard surface.,new_clips2/155.mp3,cardboard,box
156,"Crumpling a piece of paper into a small ball, then dropping it on the floor.",new_clips2/156.mp3,trash,piece
157,Short movement of the container crane with alarm then container is dropped.,new_clips2/157.mp3,trash,container
158,"Spreader of container crane is lowered, then movement of the container crane with warble alarm and ...",new_clips2/158.mp3,trash,container
159,Spreader of container crane is lowered and container is dropped with metallic impact.,new_clips2/159.mp3,trash,container
160,Spreader of container crane is lowered and then container is dropped in distance.,new_clips2/160.mp3,trash,container
161,Trash bag dropping hard with a rustle 3.,new_clips2/161.mp3,trash,trash
162,Trash bag dropping hard with a rustle 2.,new_clips2/162.mp3,trash,trash
163,Trash bag dropping hard with a rustle 1.,new_clips2/163.mp3,trash,trash
164,Mug dropping and clattering.,new_clips2/164.mp3,trash,mug
165,Large empty cardboard box being dropped 2.,new_clips2/165.mp3,cardboard,cardboard
166,Large empty cardboard box being dropped 1.,new_clips2/166.mp3,cardboard,cardboard
167,Handgun 9mm shells dropping with a clatter 6.,new_clips2/167.mp3,trash,handgun
168,Handgun 9mm shells dropping with a clatter 5.,new_clips2/168.mp3,trash,handgun
169,Handgun 9mm shells dropping with a clatter 4.,new_clips2/169.mp3,trash,handgun
170,Handgun 9mm shells dropping with a clatter 3.,new_clips2/170.mp3,trash,handgun
171,Handgun 9mm shells dropping with a clatter 2.,new_clips2/171.mp3,trash,handgun
172,Handgun 9mm shells dropping with a clatter 1.,new_clips2/172.mp3,trash,handgun
173,"Forklift dropping object, short and concise.",new_clips2/173.mp3,trash,forklift
174,Plastic straw being dropped in a trickle.,new_clips2/174.mp3,plastic,plastic
175,Plastic straw being dropped.,new_clips2/175.mp3,plastic,plastic
176,Plastic straws being dropped abruptly 3.,new_clips2/176.mp3,plastic,plastic
177,Plastic straws being gathered 2.,new_clips2/177.mp3,plastic,plastic
178,Plastic straws being dropped abruptly 1.,new_clips2/178.mp3,plastic,plastic
179,"Small plastic box being flexed, short and aggressive, back and forth 2.",new_clips2/179.mp3,plastic,plastic
180,"Small plastic box being flexed, short and aggressive 2.",new_clips2/180.mp3,plastic,plastic
181,"Small plastic box being flexed, short and aggressive, back and forth 1.",new_clips2/181.mp3,plastic,plastic
182,"Small plastic box being flexed, short and aggressive 1.",new_clips2/182.mp3,plastic,plastic
183,"Small plastic box being flexed, short 3.",new_clips2/183.mp3,plastic,plastic
184,"Small plastic box being flexed, short 2.",new_clips2/184.mp3,plastic,plastic
185,"Small plastic box being flexed, short 1.",new_clips2/185.mp3,plastic,plastic
186,Small plastic box being flexed 8.,new_clips2/186.mp3,plastic,plastic
187,Small plastic box being flexed 7.,new_clips2/187.mp3,plastic,plastic
188,Small plastic box being flexed 6.,new_clips2/188.mp3,plastic,plastic
189,Small plastic box being flexed 5.,new_clips2/189.mp3,plastic,plastic
190,Small plastic box being flexed 4.,new_clips2/190.mp3,plastic,plastic
191,Small plastic box being set down and picked up 2.,new_clips2/191.mp3,plastic,plastic
192,Small plastic box being set down and picked up 1.,new_clips2/192.mp3,plastic,plastic
193,Small plastic box lid being picked up and dropped.,new_clips2/193.mp3,plastic,plastic
194,Small plastic box lid being dropped 2.,new_clips2/194.mp3,plastic,plastic
195,Small plastic box lid being dropped 1.,new_clips2/195.mp3,plastic,plastic
196,Metal can drop and rattle.,new_clips2/196.mp3,metal,metal
197,Electric Skilsaw reciprocating saw setting down.,new_clips2/197.mp3,trash,skilsaw
198,"Push pins dropping on desktop, heavy 1.",new_clips2/198.mp3,trash,push
199,Push pins dropping on desktop 2.,new_clips2/199.mp3,trash,push
200,Push pins dropping on desktop 1.,new_clips2/200.mp3,trash,push
201,Wooden pencils dropping 4.,new_clips2/201.mp3,wood,wooden
202,Wooden pencils dropping 3.,new_clips2/202.mp3,wood,wooden
203,Wooden pencils dropping 2.,new_clips2/203.mp3,wood,wooden
204,Wooden pencils dropping 1.,new_clips2/204.mp3,wood,wooden
205,Wooden pencil dropping.,new_clips2/205.mp3,wood,wooden
206,Wooden pencils dropping and rolling.,new_clips2/206.mp3,wood,wooden
207,Small pebbles dropping on desktop 4.,new_clips2/207.mp3,trash,pebbles
208,Small pebbles dropping on desktop 3.,new_clips2/208.mp3,trash,pebbles
209,Small pebbles dropping on desktop in a stream.,new_clips2/209.mp3,trash,pebbles
210,Small pebbles dropping on desktop 2.,new_clips2/210.mp3,trash,pebbles
211,Small pebbles dropping on desktop 1.,new_clips2/211.mp3,trash,pebbles
212,"Plastic watering can set down, deep thump.",new_clips2/212.mp3,plastic,plastic
213,Plastic watering can set down with a clatter.,new_clips2/213.mp3,plastic,plastic
214,Plastic watering can set down.,new_clips2/214.mp3,plastic,plastic
215,Metal tin being scraped aggressively.,new_clips2/215.mp3,metal,metal
216,Glass stones dropping on table slowly 2.,new_clips2/216.mp3,glass,glass
217,Glass stones rattling and shuffling in hands quickly 2.,new_clips2/217.mp3,glass,glass
218,Glass stones rattling and shuffling in hands quickly 1.,new_clips2/218.mp3,glass,glass
219,Glass stones rattling and shuffling in hands 2.,new_clips2/219.mp3,glass,glass
220,Glass stones rattling and shuffling in hands 1.,new_clips2/220.mp3,glass,glass
221,Glass stones dropping on table slowly and shuffling in hands.,new_clips2/221.mp3,glass,glass
222,Glass stones dropping on table slowly 1.,new_clips2/222.mp3,glass,glass
223,Frying pan being set down.,new_clips2/223.mp3,trash,pan
224,Frying pan being dropped harshly.,new_clips2/224.mp3,trash,pan
225,Plastic chaplet dropped onto concrete floor.,new_clips2/225.mp3,trash,chaplet
226,HUMAN Shaking hands off into metal sink (3).,new_clips2/226.mp3,trash,hands
227,HUMAN Shaking hands off into metal sink (2).,new_clips2/227.mp3,trash,hands
228,HUMAN Shaking hands off into metal sink (1).,new_clips2/228.mp3,trash,hands
229,Metal sink dripping water (2).,new_clips2/229.mp3,metal,metal
230,Metal sink dripping water (1).,new_clips2/230.mp3,metal,metal
231,Setting Small Object Down On Leaf Pile (4).,new_clips2/231.mp3,trash,leaf
232,Setting Small Object Down On Leaf Pile (3).,new_clips2/232.mp3,trash,leaf
233,Setting Small Object Down On Leaf Pile (2).,new_clips2/233.mp3,trash,leaf
234,Setting Small Object Down On Leaf Pile (1).,new_clips2/234.mp3,trash,leaf
235,"Fiberglass Canoe Dropping Onto Body, Close perspective.",new_clips2/235.mp3,glass,fiberglass
236,HOME Zippo Lighter Dropping Onto Metal Grate (2).,new_clips2/236.mp3,trash,home
237,HOME Zippo Lighter Dropping Onto Metal Grate (1).,new_clips2/237.mp3,trash,home
238,Wallet Falls Onto Wood Floor With Slide and Pick Up (3).,new_clips2/238.mp3,trash,wallet
239,Wallet Falls Onto Wood Floor With Slide and Pick Up (2).,new_clips2/239.mp3,trash,wallet
240,Wallet Falls Onto Wood Floor With Slide and Pick Up (1).,new_clips2/240.mp3,trash,wallet
241,"HOME Small Metal Garbage Can Full Movement, Series.",new_clips2/241.mp3,trash,home
242,"HOME Small Metal Garbage Can Lid Dropped, Series.",new_clips2/242.mp3,trash,home
243,"Full Metal Garbage Can Dropped, series.",new_clips2/243.mp3,metal,metal
244,Plunger dropped on bathroom floor (4).,new_clips2/244.mp3,trash,plunger
245,Plunger dropped on bathroom floor (3).,new_clips2/245.mp3,trash,plunger
246,Plunger dropped on bathroom floor (2).,new_clips2/246.mp3,trash,plunger
247,Plunger dropped on bathroom floor (1).,new_clips2/247.mp3,trash,plunger
248,Light bulb smashing on wooden floor.,new_clips2/248.mp3,trash,bulb
249,Glass jar shattering on floor.,new_clips2/249.mp3,glass,glass
250,Heavy brass door knob falling on wood floor (2).,new_clips2/250.mp3,trash,brass
251,Heavy brass door knob falling on wood floor (1).,new_clips2/251.mp3,trash,brass
252,Dropping small logs or a big stick on the ground in a forest (3).,new_clips2/252.mp3,trash,logs
253,Dropping small logs or a big stick on the ground in a forest (2).,new_clips2/253.mp3,trash,logs
254,Dropping small logs or a big stick on the ground in a forest (1).,new_clips2/254.mp3,trash,logs
255,Plastic Toy Fall Drop Stutter Vibration 1.,new_clips2/255.mp3,plastic,plastic
256,Plastic Toy Fall Drop Stutter Vibration 2.,new_clips2/256.mp3,plastic,plastic
257,Plastic Toy Fall Drop Hit 1.,new_clips2/257.mp3,plastic,plastic
258,Metal Club Weapon Set Down.,new_clips2/258.mp3,metal,metal
259,"A few coins falling onto coins, slowly.",new_clips2/259.mp3,metal,coins
260,"A few coins falling onto more coins, fast.",new_clips2/260.mp3,metal,coins
261,Ancient game -- wood tool with hard plastic handle drop or arrow.,new_clips2/261.mp3,trash,game
262,Coin dropping on tin.,new_clips2/262.mp3,metal,coin
263,"A few coins dropping onto coins, slowly.",new_clips2/263.mp3,metal,coins
264,"A few coins dropping onto coins, fast.",new_clips2/264.mp3,metal,coins
265,"Many coins dropping into metal tin, slowly.",new_clips2/265.mp3,metal,coins
266,"A few coins dropping into metal tin, slowly.",new_clips2/266.mp3,metal,coins
267,"A few coins dropping into metal tin, fast.",new_clips2/267.mp3,metal,coins
268,"Coins dropping on coins, slowly.",new_clips2/268.mp3,metal,coins
269,"Coins dropping on coins, fast.",new_clips2/269.mp3,metal,coins
270,Coins falling onto pile of coins.,new_clips2/270.mp3,metal,coins
271,Single coin dropped onto wood and spinning short.,new_clips2/271.mp3,metal,coin
272,Single coin dropped onto wood and spinning long.,new_clips2/272.mp3,metal,coin
273,Single coin dropped onto wood.,new_clips2/273.mp3,metal,coin
274,"Many coins dropped onto wood, slowly.",new_clips2/274.mp3,metal,coins
275,"Many coins dropped onto wood, fast.",new_clips2/275.mp3,metal,coins
276,Single coin dropping on old wood.,new_clips2/276.mp3,metal,coin
277,"Single coin dropping and spinning on old wood, short.",new_clips2/277.mp3,metal,coin
278,"Single coin dropping and spinning on old wood, long.",new_clips2/278.mp3,metal,coin
279,"Many coins dropping onto old wood, slowly.",new_clips2/279.mp3,metal,coins
280,"Many coins dropping onto old wood, fast.",new_clips2/280.mp3,metal,coins
281,"A few coins dropping onto old wood, slowly.",new_clips2/281.mp3,metal,coins
282,"A few coins dropping onto old wood, fast.",new_clips2/282.mp3,metal,coins
283,"Coin dropping and spinning, short.",new_clips2/283.mp3,metal,coin
284,"Coins in hand dropping onto coins, ringing.",new_clips2/284.mp3,metal,coins
285,"Single coin dropping into jar, with a bounce.",new_clips2/285.mp3,metal,coin
286,Single coin dropping into jar.,new_clips2/286.mp3,metal,coin
287,"Many coins dropping into jar, fast.",new_clips2/287.mp3,metal,coins
288,"A few coins dropping into jar, slowly.",new_clips2/288.mp3,metal,coins
289,Single coin dropped onto wood and spinning short.,new_clips2/289.mp3,metal,coin
290,Single coin dropped onto wood and spinning long.,new_clips2/290.mp3,metal,coin
291,Single coin dropped onto wood.,new_clips2/291.mp3,metal,coin
292,"Many coins dropped onto wood, slowly.",new_clips2/292.mp3,metal,coins
293,"Many coins dropped onto wood, fast.",new_clips2/293.mp3,metal,coins
294,"Single coin dropping and spinning on old wood, long.",new_clips2/294.mp3,metal,coin
295,"Many coins dropping onto old wood, slowly.",new_clips2/295.mp3,metal,coins
296,"Many coins dropping onto old wood, fast.",new_clips2/296.mp3,metal,coins
297,"A few coins dropping onto old wood, slowly.",new_clips2/297.mp3,metal,coins
298,"Coin dropping and spinning, long.",new_clips2/298.mp3,metal,coin
299,"Coins in hand dropping onto coins, ringing.",new_clips2/299.mp3,metal,coins
300,"Single coin dropping into jar, with a bounce.",new_clips2/300.mp3,metal,coin
301,Single coin dropping into jar.,new_clips2/301.mp3,metal,coin
302,"Many coins dropping into jar, fast.",new_clips2/302.mp3,metal,coins
303,"A few coins dropping into jar, slowly.",new_clips2/303.mp3,metal,coins
304,Six standard dice being dropped onto a wooden tray.,new_clips2/304.mp3,trash,dice
305,Five standard dice being dropped onto a wooden tray.,new_clips2/305.mp3,trash,dice
306,Four standard dice being dropped onto a wooden tray.,new_clips2/306.mp3,trash,dice
307,Three standard dice being dropped onto a wooden tray.,new_clips2/307.mp3,trash,dice
308,Two standard dice being dropped onto a wooden tray.,new_clips2/308.mp3,trash,dice
309,One standard die being dropped onto a wooden tray.,new_clips2/309.mp3,trash,die
310,Six standard dice being dropped onto plastic.,new_clips2/310.mp3,trash,dice
311,Five standard dice being dropped onto plastic.,new_clips2/311.mp3,trash,dice
312,Four standard dice being dropped onto plastic.,new_clips2/312.mp3,trash,dice
313,Three standard dice being dropped onto plastic.,new_clips2/313.mp3,trash,dice
314,Two standard dice being dropped onto plastic.,new_clips2/314.mp3,trash,dice
315,One standard die being dropped onto plastic.,new_clips2/315.mp3,trash,die
316,Six standard dice dropping onto neoprene.,new_clips2/316.mp3,trash,dice
317,Five standard dice dropping onto neoprene.,new_clips2/317.mp3,trash,dice
318,Four standard dice dropping onto neoprene.,new_clips2/318.mp3,trash,dice
319,Three standard dice dropping onto neoprene.,new_clips2/319.mp3,trash,dice
320,Two standard dice dropping onto neoprene.,new_clips2/320.mp3,trash,dice
321,One standard die dropping onto neoprene.,new_clips2/321.mp3,trash,die
322,Dropping six standard dice onto a metal surface.,new_clips2/322.mp3,trash,dice
323,Dropping five standard dice onto a metal surface.,new_clips2/323.mp3,trash,dice
324,Dropping four standard dice onto a metal surface.,new_clips2/324.mp3,trash,dice
325,Dropping three standard dice onto a metal surface.,new_clips2/325.mp3,trash,dice
326,Dropping two standard dice onto a metal surface.,new_clips2/326.mp3,trash,dice
327,Dropping one standard die onto a metal surface.,new_clips2/327.mp3,trash,die
328,Six standard dice being dropped onto hard wood.,new_clips2/328.mp3,trash,dice
329,Five standard dice being dropped onto hard wood.,new_clips2/329.mp3,trash,dice
330,Four standard dice being dropped onto hard wood.,new_clips2/330.mp3,trash,dice
331,Three standard dice being dropped onto hard wood.,new_clips2/331.mp3,trash,dice
332,Two standard dice being dropped onto hard wood.,new_clips2/332.mp3,trash,dice
333,One standard die being dropped onto hard wood.,new_clips2/333.mp3,trash,die
334,Six standard dice being dropped onto glass surface.,new_clips2/334.mp3,trash,dice
335,Five standard dice being dropped onto glass surface.,new_clips2/335.mp3,trash,dice
336,Four standard dice being dropped onto glass surface.,new_clips2/336.mp3,trash,dice
337,Three standard dice being dropped onto glass surface.,new_clips2/337.mp3,trash,dice
338,Two standard dice being dropped onto glass surface.,new_clips2/338.mp3,trash,dice
339,One standard die being dropped onto glass surface.,new_clips2/339.mp3,trash,die
340,Six standard dice dropping on felt.,new_clips2/340.mp3,trash,dice
341,Five standard dice dropping on felt.,new_clips2/341.mp3,trash,dice
342,Four standard dice dropping on felt.,new_clips2/342.mp3,trash,dice
343,Three standard dice dropping on felt.,new_clips2/343.mp3,trash,dice
344,Two standard dice dropping on felt.,new_clips2/344.mp3,trash,dice
345,One standard die dropping on felt.,new_clips2/345.mp3,trash,die
346,Six standard game dice being dropped on cardboard.,new_clips2/346.mp3,trash,game
347,Five standard game dice being dropped on cardboard.,new_clips2/347.mp3,trash,game
348,Four standard game dice being dropped on cardboard.,new_clips2/348.mp3,trash,game
349,Three standard game dice being dropped on cardboard.,new_clips2/349.mp3,trash,game
350,Two standard game dice being dropped on cardboard.,new_clips2/350.mp3,trash,game
351,One standard game die being dropped on cardboard.,new_clips2/351.mp3,trash,game
352,Drumsticks dropping on concrete (5).,new_clips2/352.mp3,trash,drumsticks
353,Drumsticks dropping on concrete (4).,new_clips2/353.mp3,trash,drumsticks
354,Drumsticks dropping on concrete (3).,new_clips2/354.mp3,trash,drumsticks
355,Drumsticks dropping on concrete (2).,new_clips2/355.mp3,trash,drumsticks
356,Drumsticks dropping on concrete (1).,new_clips2/356.mp3,trash,drumsticks
357,Plastic bowl dropping.,new_clips2/357.mp3,plastic,plastic
358,Dark and hollow air whoosh drop.,new_clips2/358.mp3,trash,dark
359,Rocks and pebbles being dropped to the ground.,new_clips2/359.mp3,trash,rocks
360,"Coins being thrown into a small metal box, mono recording.",new_clips2/360.mp3,metal,coins
361,"Coins dropping into small metal box, mono recording.",new_clips2/361.mp3,metal,coins
362,"Small metal box dropping and shaken with coins inside, mono recording.",new_clips2/362.mp3,metal,metal
363,"Dropping coins into a metal bucket individually, mono recording.",new_clips2/363.mp3,metal,coins
364,"Dropping a bunch of coins into metal bucket, mono recording.",new_clips2/364.mp3,metal,coins
365,"Dropping individual coins into a big pot, mono recording.",new_clips2/365.mp3,metal,coins
366,"Dropping a pile of coins into a big pot, mono recording.",new_clips2/366.mp3,metal,coins
