,Description,clips,category,clip_arrays
30,Bullet shells - falling and clanking on other shells 4.,new_clips2/30.mp3,trash,[0.2431156  0.37709567 0.48063463 ... 0.4120713  0.02805711 0.27543676]
31,Bullet shells - falling and clanking on other shells 3.,new_clips2/31.mp3,trash,"[-0.19875567 -0.36294684 -0.56568724 ... -0.3089003   0.30191004
  0.03576098]"
32,Bullet shells - falling and clanking on other shells 2.,new_clips2/32.mp3,trash,[0.01038167 0.0163726  0.01630486 ... 0.01819714 0.00956592 0.00248044]
33,Bullet shells - falling and clanking on other shells 1.,new_clips2/33.mp3,trash,"[ 0.4471596   0.5387277  -0.07547285 ...  0.05621898 -0.85158205
  0.50741726]"
34,Object dropping into water 4.,new_clips2/34.mp3,trash,"[-0.00563668  0.01018957 -0.00978587 ...  0.01558249  0.01691645
  0.01530237]"
35,Object dropping into water 3.,new_clips2/35.mp3,trash,"[-0.0671666  -0.15458399 -0.08112309 ...  0.03808738  0.04113716
  0.07482453]"
36,Object dropping into water 2.,new_clips2/36.mp3,trash,"[-0.01396304 -0.03329323 -0.04804866 ... -0.07030416 -0.06036968
 -0.04653977]"
37,Object dropping into water 1.,new_clips2/37.mp3,trash,"[-0.02722005  0.05727303 -0.09564409 ...  0.068381    0.05642922
  0.04357341]"
38,Throwing plastic bottle with water on wooden floor.,new_clips2/38.mp3,plastic,"[-0.00019652  0.00167848  0.0004956  ...  0.00200855  0.00230425
  0.00225826]"
39,Throwing plastic bottle with water on carpeted floor.,new_clips2/39.mp3,plastic,[0.00020221 0.00713088 0.00515982 ... 0.00273042 0.00272439 0.00254052]
40,Metal flask drop to carpeted floor with water.,new_clips2/40.mp3,metal,"[-0.0012637  -0.00501885 -0.00898458 ... -0.01554764 -0.01377499
 -0.01102628]"
41,Metal dropped on wooden floor.,new_clips2/41.mp3,metal,"[-8.7646532e-07  9.9887624e-02 -3.0468729e-01 ...  5.3431645e-02
  3.0358959e-02  3.2390598e-02]"
42,Metal dropped on plastic chair.,new_clips2/42.mp3,plastic,"[-0.03561806  0.09884624 -0.0103059  ...  0.14800255  0.05423425
 -0.09075611]"
43,Metal dropped on grass.,new_clips2/43.mp3,metal,"[ 0.00606091 -0.02844953 -0.01414622 ... -0.01935158 -0.02184923
 -0.01237894]"
44,Metal dropped on carpet.,new_clips2/44.mp3,metal,"[ 0.05744422  0.08294484  0.1119602  ... -0.00631117 -0.03189602
 -0.05404679]"
45,Metal bowl dropped on carpeted floor.,new_clips2/45.mp3,metal,"[ 0.04302135  0.04740545  0.04766232 ... -0.02583373 -0.03139893
 -0.04254521]"
46,Large headphones thrown on wooden table.,new_clips2/46.mp3,metal,"[ 0.00160778  0.0045804   0.00383292 ... -0.00554012 -0.00581352
 -0.00519278]"
47,Large headphones thrown on carpeted floor.,new_clips2/47.mp3,metal,[0.0030903  0.00660212 0.00815301 ... 0.00445464 0.0040538  0.00372444]
48,Large headphones put on wooden table.,new_clips2/48.mp3,metal,[0.00205464 0.00404895 0.0077734  ... 0.00408237 0.00462161 0.00441069]
49,Large headphones put on glass table.,new_clips2/49.mp3,glass,"[-0.00113067 -0.00173119 -0.00071179 ... -0.00820376 -0.00620056
 -0.00466254]"
50,Large headphones put on glass table slowly.,new_clips2/50.mp3,glass,"[-0.00030139  0.00015142 -0.00096303 ...  0.00136886  0.00101691
  0.00075256]"
51,Large headphones put down slowly on wooden table.,new_clips2/51.mp3,metal,"[ 0.00475463  0.00465888  0.00430092 ... -0.0058645  -0.00543324
 -0.00556146]"
52,Large headphones dropped on carpeted floor.,new_clips2/52.mp3,metal,"[-0.01038899 -0.03536453 -0.01409259 ... -0.03141304 -0.03162868
 -0.02814409]"
53,Laptop charger thrown on wooden table.,new_clips2/53.mp3,wood,"[ 7.7109638e-05 -8.2667246e-03 -2.2066411e-02 ... -1.2491297e-02
 -1.1370267e-02 -7.4839196e-03]"
54,Laptop charger thrown on carpeted floor.,new_clips2/54.mp3,trash,"[-0.00448857 -0.00653444 -0.00983019 ...  0.00414283  0.00502773
  0.00568527]"
55,Laptop charger dropped on wooden table.,new_clips2/55.mp3,wood,"[-0.02331764 -0.02171511 -0.02849645 ...  0.04281576  0.0413379
  0.03510063]"
56,Laptop charger dropped on carpeted floor.,new_clips2/56.mp3,trash,"[-0.00088941  0.00342379  0.00527536 ... -0.00336737 -0.00288835
 -0.00265488]"
57,Laptop charger cable thrown on wooden table.,new_clips2/57.mp3,wood,"[ 0.0024347   0.0090052  -0.01295767 ...  0.00124412  0.0017694
  0.00268949]"
58,Laptop charger cable thrown on carpeted floor.,new_clips2/58.mp3,trash,"[-2.20535789e-04 -3.61853927e-05  3.22429813e-04 ... -1.14108494e-04
 -2.38977140e-04 -3.13565804e-04]"
59,Laptop charger cable dropped on carpeted floor.,new_clips2/59.mp3,trash,"[-0.00058431 -0.00136026 -0.00484277 ... -0.00136183 -0.00167331
 -0.0017537 ]"
60,Laptop charger cable drop on wooden table.,new_clips2/60.mp3,wood,[0.00121994 0.00388908 0.01819781 ... 0.00265493 0.00200931 0.0019257 ]
61,Laptop charger cable drop on glass table.,new_clips2/61.mp3,glass,"[ 0.00166787 -0.00738984  0.0045683  ... -0.00169311  0.00651657
  0.00502292]"
62,Putting a set of papers on a glass table.,new_clips2/62.mp3,glass,"[ 0.02899873  0.04342171  0.03219052 ... -0.03358108 -0.03375102
 -0.03530335]"
63,Putting a set of paper on a table.,new_clips2/63.mp3,paper,"[ 0.00242386  0.00420974  0.00751664 ... -0.00317914 -0.0026103
 -0.00306361]"
64,Jacket thrown on sofa.,new_clips2/64.mp3,trash,"[ 0.00791918  0.01674632  0.01501581 ... -0.00282699  0.00053597
 -0.01369675]"
65,Jacket thrown on floor.,new_clips2/65.mp3,trash,"[-0.00833725 -0.01835102 -0.02264419 ...  0.00332743  0.01041727
 -0.00193905]"
66,Jacket thrown on bed.,new_clips2/66.mp3,trash,"[ 0.01845894  0.02165208  0.02399623 ... -0.02915325 -0.02827457
 -0.02673   ]"
67,Jacket dropped on sofa.,new_clips2/67.mp3,trash,"[-0.00443876 -0.00715836 -0.00881484 ...  0.002109    0.00475066
  0.00717474]"
68,Jacket dropped on floor.,new_clips2/68.mp3,trash,"[ 0.00464083  0.0149788   0.01880678 ... -0.00929277 -0.01532141
 -0.01757551]"
69,Jacket dropped on bed.,new_clips2/69.mp3,trash,"[ 0.00349306  0.00531557  0.00661268 ... -0.00476057 -0.00461991
 -0.00417465]"
70,Headphone jack put down on table and rolling.,new_clips2/70.mp3,metal,"[ 0.0115943  -0.01445627  0.01958525 ... -0.01764374 -0.01558241
 -0.01072776]"
71,Earphones thrown on wooden table.,new_clips2/71.mp3,metal,[0.00172024 0.00746496 0.00041505 ... 0.00012416 0.00247836 0.00341565]
72,Earphones thrown on glass table.,new_clips2/72.mp3,glass,"[ 0.0051958  -0.00970192  0.00464207 ... -0.00626843 -0.01225084
 -0.00811401]"
73,Earphones thrown on carpeted floor.,new_clips2/73.mp3,metal,"[-0.00115961 -0.00113935 -0.00115233 ...  0.00169942  0.00157178
  0.00150687]"
74,Earphones put on wooden table 1.,new_clips2/74.mp3,metal,"[-0.00380311  0.00703715  0.03411843 ... -0.00700184 -0.01413498
 -0.02293435]"
75,Earphones put on wooden table 2.,new_clips2/75.mp3,metal,"[-0.00380311  0.00703715  0.03411843 ... -0.00700184 -0.01413498
 -0.02293435]"
76,Earphones put down on glass table.,new_clips2/76.mp3,glass,"[-0.00508215 -0.03234624 -0.02805321 ... -0.00893073 -0.00745573
 -0.00953867]"
77,Earphones dropped on carpeted floor.,new_clips2/77.mp3,metal,"[-0.00059737 -0.0005873  -0.00062924 ... -0.00121911 -0.00138523
 -0.00106501]"
78,Dropping plastic bottle with water on wooden floor.,new_clips2/78.mp3,plastic,"[-0.00343161 -0.01508002 -0.02226809 ...  0.00095598  0.00228163
  0.00342366]"
79,Dropping plastic bottle with water on carpeted floor.,new_clips2/79.mp3,plastic,"[ 0.00041746  0.00085568  0.00040845 ... -0.00087043 -0.00083807
 -0.00091777]"
80,Dropping plastic bottle on wooden floor.,new_clips2/80.mp3,plastic,"[-0.00127573  0.00756094  0.01669928 ...  0.00665463  0.00672726
  0.00675897]"
81,Dropping plastic bottle on carpeted floor.,new_clips2/81.mp3,plastic,"[ 0.00368653  0.00516361  0.00861437 ... -0.00746531 -0.00703015
 -0.00629315]"
82,Dropping leather purse with coins on wooden floor.,new_clips2/82.mp3,metal,"[-0.00071375 -0.006283   -0.00458259 ... -0.00151303 -0.00232756
 -0.00076347]"
83,Dropping leather purse with coins on carpet.,new_clips2/83.mp3,metal,"[ 4.6922130e-05  2.8814754e-04 -3.8990282e-04 ... -7.4576290e-04
 -5.3267542e-04 -2.2840244e-04]"
84,Dropping leather purse on a carpet.,new_clips2/84.mp3,trash,"[-7.8990917e-05 -3.9375253e-04  1.0706368e-04 ... -3.7533592e-04
 -3.4263186e-04 -3.3608271e-04]"
85,Dropping coffee powder into milk.,new_clips2/85.mp3,trash,"[-0.00149686  0.0059613  -0.00428539 ... -0.00272583 -0.00272617
 -0.00194274]"
86,Car keys thrown on wooden table.,new_clips2/86.mp3,metal,"[-0.00327735  0.00925125  0.00639402 ... -0.01364821 -0.01546099
 -0.01452326]"
87,Car keys thrown on glass table.,new_clips2/87.mp3,glass,"[-0.00416233  0.02285951 -0.01074312 ... -0.003902   -0.00259261
 -0.01123015]"
88,Car keys thrown on carpeted floor.,new_clips2/88.mp3,metal,"[-0.00198347 -0.00313972 -0.00345499 ...  0.00148148 -0.00114769
  0.00271185]"
89,Car keys put down slowly on wooden table.,new_clips2/89.mp3,metal,[0.0039188  0.0292841  0.04813338 ... 0.00259215 0.00347053 0.00479143]
90,Car keys put down on wooden table.,new_clips2/90.mp3,metal,"[ 0.00453831  0.00962755  0.00625838 ... -0.00352782 -0.00907174
 -0.01117816]"
91,Car keys dropped on glass table.,new_clips2/91.mp3,glass,[0.004028   0.06027248 0.07736239 ... 0.00065073 0.00779391 0.01276659]
92,Car keys down put down on carpeted floor.,new_clips2/92.mp3,metal,[0.0003738  0.00239615 0.00084196 ... 0.00238344 0.0018724  0.00267118]
93,Bunch of keys thrown on wooden table.,new_clips2/93.mp3,metal,"[-0.00846632  0.18488497  0.20961018 ... -0.01939633 -0.00081015
  0.02979515]"
94,Bunch of keys thrown on tiled floor.,new_clips2/94.mp3,metal,"[ 0.01894719 -0.0090023   0.02241118 ... -0.02097174 -0.00880681
 -0.02155724]"
95,Bunch of keys thrown on carpeted floor.,new_clips2/95.mp3,metal,"[-0.00137814 -0.00171835 -0.00173414 ...  0.00209808  0.00038018
 -0.00083677]"
96,Bunch of keys thrown on a glass table.,new_clips2/96.mp3,glass,"[-0.0238096  -0.08258017 -0.04715689 ... -0.03787518 -0.05275374
 -0.0233489 ]"
97,Bunch of keys thrown into drawer.,new_clips2/97.mp3,metal,"[-0.00957897  0.0282952   0.02582237 ... -0.01193222  0.02206093
  0.00966184]"
98,Bunch of keys drops on tiled floor.,new_clips2/98.mp3,metal,"[-0.00019504  0.01024612 -0.0073645  ... -0.0084395   0.00817825
  0.01051442]"
99,Bunch of keys drops on sofa.,new_clips2/99.mp3,metal,"[ 0.00943063 -0.03972044  0.03437424 ...  0.01233004  0.01293138
  0.01181479]"
100,Bunch of keys drops on concrete floor.,new_clips2/100.mp3,metal,"[ 0.00488116  0.01281662 -0.02291477 ... -0.01046435 -0.00422428
  0.01204697]"
101,Bunch of keys dropped on wooden table.,new_clips2/101.mp3,metal,"[ 0.02532398  0.02754493  0.02321893 ... -0.05120014 -0.05631526
 -0.04479969]"
102,Bunch of keys dropped on carpeted floor.,new_clips2/102.mp3,metal,"[ 0.01493375  0.01639447  0.019609   ...  0.01137958  0.00286894
 -0.02042535]"
103,Bunch of keys dropped on a glass table.,new_clips2/103.mp3,glass,"[-0.00162715 -0.00108553  0.000937   ... -0.00174334 -0.00392043
 -0.00622189]"
104,Bunch of keys dropped into drawer.,new_clips2/104.mp3,metal,"[-0.00081557 -0.00158833 -0.00137186 ...  0.00068449 -0.00134843
 -0.00201319]"
105,Chalk dropping various.,new_clips2/105.mp3,trash,"[ 0.02527038  0.0605296   0.05870882 ... -0.04397349 -0.05671934
 -0.08348063]"
106,Case dropped on U-Bahn platform.,new_clips2/106.mp3,trash,"[-0.03423546 -0.12472622 -0.15745367 ... -0.13552842  0.02563842
  0.13692401]"
107,Wood sticks dropping on wood tabletop 5.,new_clips2/107.mp3,wood,"[ 0.03499589 -0.16165659 -0.36640888 ...  0.16242486  0.14180203
  0.06155   ]"
108,Wood sticks dropping on wood tabletop 4.,new_clips2/108.mp3,wood,"[ 0.01001412 -0.02835266  0.00958146 ... -0.02790001 -0.03966084
 -0.03686154]"
109,Wood sticks dropping on wood tabletop 3.,new_clips2/109.mp3,wood,[0.00961247 0.02091503 0.00592002 ... 0.01684231 0.01654933 0.01465407]
110,Wood sticks dropping on wood tabletop 2.,new_clips2/110.mp3,wood,"[-0.00023827  0.05075694  0.02067728 ... -0.02912857 -0.04692674
 -0.03647052]"
111,Wood sticks dropping on wood tabletop 1.,new_clips2/111.mp3,wood,"[ 0.0078401  -0.00767655  0.01665574 ... -0.00389814 -0.01422026
 -0.02691712]"
112,Wood sticks on dropping on concrete single stick.,new_clips2/112.mp3,wood,"[ 0.11638337  0.2438756   0.29486844 ...  0.0907831  -0.0663702
 -0.28888696]"
113,Wood sticks on dropping on concrete 6.,new_clips2/113.mp3,wood,"[-0.10131395 -0.18117288 -0.11701227 ... -0.35700902 -0.3655573
 -0.41417   ]"
114,Wood sticks on dropping on concrete 5.,new_clips2/114.mp3,wood,"[ 0.03989352  0.08055821  0.0763886  ... -0.06716415  0.06405649
  0.1383502 ]"
115,Wood sticks on dropping on concrete 4.,new_clips2/115.mp3,wood,"[ 0.00768679  0.00531879 -0.01379256 ...  0.00521282 -0.00049355
 -0.01087062]"
116,Wood sticks on dropping on concrete 3.,new_clips2/116.mp3,wood,"[-0.0068282  -0.00557097  0.01606879 ... -0.01427382  0.00021543
  0.00200161]"
117,Wood sticks on dropping on concrete 2.,new_clips2/117.mp3,wood,"[ 0.22919127 -0.27552107 -0.54638624 ...  0.19110928  0.68522394
  0.40039378]"
118,Wood sticks on dropping on concrete 1.,new_clips2/118.mp3,wood,"[-0.22122084 -0.7116992  -0.41614118 ... -0.01386036  0.12378122
  0.2349206 ]"
119,"Tortilla press lever dropping and bouncing, fast 4.",new_clips2/119.mp3,trash,"[-0.28984162 -0.34258205 -0.5297258  ...  0.2821912   0.42961243
  0.6601234 ]"
120,"Tortilla press lever dropping and bouncing, fast 3.",new_clips2/120.mp3,trash,[0.10761749 0.4694598  0.61323893 ... 0.37502518 0.3535988  0.3445973 ]
121,"Tortilla press lever dropping and bouncing, fast 2.",new_clips2/121.mp3,trash,"[ 0.34881446  0.36420718  0.36344668 ... -0.3966909  -0.40455946
 -0.3971286 ]"
122,"Tortilla press lever dropping and bouncing, fast 1.",new_clips2/122.mp3,trash,"[-0.11572331 -0.24157076 -0.264939   ... -0.19813822 -0.17718573
 -0.15885381]"
123,Tortilla press lever dropping and bouncing 4.,new_clips2/123.mp3,trash,"[-0.13729192 -0.2704282  -0.05888636 ... -0.3684244  -0.36211583
 -0.3839623 ]"
124,Tortilla press lever dropping and bouncing once.,new_clips2/124.mp3,trash,"[ 0.11028774 -0.70820713  0.30793196 ... -0.26689038 -0.2782091
 -0.20711131]"
125,Tortilla press lever dropping and bouncing 3.,new_clips2/125.mp3,trash,"[-0.07624988 -0.26600468 -0.31231552 ... -0.30485195 -0.2782124
 -0.24150181]"
126,Tortilla press lever dropping and bouncing 2.,new_clips2/126.mp3,trash,"[-0.08578853 -0.22571553 -0.22902511 ...  0.10890976  0.0045414
  0.01176791]"
127,Tortilla press lever dropping and bouncing 1.,new_clips2/127.mp3,trash,"[-0.00129469  0.1925358  -0.32162604 ... -0.02645918 -0.02103502
 -0.00432697]"
128,Silverware dropping on concrete 4.,new_clips2/128.mp3,trash,"[-0.1363244   0.14878596  0.0809101  ...  0.0374162  -0.11231926
  0.02274002]"
129,Silverware dropping on concrete 3.,new_clips2/129.mp3,trash,"[ 0.08419652 -0.29950967  0.27697358 ... -0.04208409  0.05397519
  0.04963608]"
130,Silverware dropping on concrete 2.,new_clips2/130.mp3,trash,"[-0.04146148  0.0877995  -0.166612   ...  0.12237709 -0.07383613
 -0.07654814]"
131,Silverware dropping on concrete 1.,new_clips2/131.mp3,trash,"[-0.00668326  0.01587589 -0.0289969  ... -0.01232799 -0.01284708
  0.02593738]"
132,Nails on wood tabletop dropping 11.,new_clips2/132.mp3,wood,"[ 0.00162398 -0.00950046  0.00104367 ...  0.00281023 -0.00067516
 -0.00016939]"
133,Nails on wood tabletop dropping 10.,new_clips2/133.mp3,wood,"[-0.01113778  0.03383538 -0.04869203 ... -0.01150787 -0.03301176
  0.05702502]"
134,Nails on wood tabletop dropping 9.,new_clips2/134.mp3,wood,"[ 0.00484231  0.02089117 -0.01637623 ... -0.00373987 -0.01182942
  0.0081246 ]"
135,Nails on wood tabletop dropping 8.,new_clips2/135.mp3,wood,"[-0.0015025   0.00488605  0.00148022 ... -0.00062116  0.00086169
 -0.00136434]"
136,Nails on wood tabletop dropping 7.,new_clips2/136.mp3,wood,"[-0.01948946  0.02805763 -0.04981397 ...  0.01348193  0.02294978
 -0.03983474]"
137,Nails on wood tabletop dropping 6.,new_clips2/137.mp3,wood,"[-0.00193467  0.00255833  0.00356508 ... -0.0015942  -0.00145941
 -0.00492659]"
138,Nails on wood tabletop dropping 4.,new_clips2/138.mp3,wood,"[-0.00133219  0.0079065   0.00081939 ...  0.00047239  0.00784604
 -0.00340571]"
139,Nails on wood tabletop dropping 3.,new_clips2/139.mp3,wood,"[-2.3674216e-02  1.2127526e-01 -2.6148441e-01 ...  1.8029101e-02
  2.5849039e-04 -2.1772813e-02]"
140,Nails on wood tabletop dropping 2.,new_clips2/140.mp3,wood,"[-0.01508499  0.04892123 -0.02448115 ...  0.00121897  0.012507
 -0.08282118]"
141,Nails on wood tabletop dropping 1.,new_clips2/141.mp3,wood,"[-0.12064648  0.29139164 -0.0284322  ...  0.01496723 -0.16227731
 -0.00685917]"
142,Dropping a storage box on a hard surface 02.,new_clips2/142.mp3,cardboard,"[ 0.02556632  0.06792062  0.145577   ... -0.04130024 -0.04736904
 -0.05660745]"
143,Dropping a storage box on a hard surface 01.,new_clips2/143.mp3,cardboard,"[-0.01039179 -0.03502698 -0.01033394 ... -0.00556441 -0.02065554
 -0.03013582]"
144,Dropping small cards on a table.,new_clips2/144.mp3,trash,"[-0.00247444 -0.02658481 -0.03928925 ...  0.00597188  0.00544612
  0.00845429]"
145,Dropping a small box on a table many times.,new_clips2/145.mp3,cardboard,"[-0.00121032  0.02102463  0.05799745 ... -0.00353778 -0.00369814
 -0.00335244]"
146,Dropping on a small pile of cards on a table 4.,new_clips2/146.mp3,trash,"[ 0.0015155   0.01473303  0.01676275 ... -0.01100514 -0.00642049
 -0.0097754 ]"
147,Dropping on a small pile of cards on a table 3.,new_clips2/147.mp3,trash,[0.00261812 0.0047777  0.0042582  ... 0.01071088 0.00853955 0.01156985]
148,Dropping on a small pile of cards on a table 2.,new_clips2/148.mp3,trash,"[-0.01554411 -0.01384362 -0.02569056 ... -0.01873289 -0.06459998
 -0.06738721]"
149,Dropping on a small pile of cards on a table 1.,new_clips2/149.mp3,trash,[0.00761002 0.01105763 0.0214256  ... 0.01751794 0.02854395 0.0240215 ]
150,"Dropping on a pile of cards on a table, various versions.",new_clips2/150.mp3,trash,"[-0.00119182 -0.00242725 -0.00319542 ...  0.00206206  0.0020966
  0.00210853]"
151,Dropping on a pile of cards on a table.,new_clips2/151.mp3,trash,"[ 0.05993392  0.07036394  0.06083192 ... -0.14935254 -0.14581107
 -0.09221398]"
152,"Dropping a medium box on the table, various versions.",new_clips2/152.mp3,cardboard,"[-0.00869519 -0.05363829 -0.02799189 ...  0.0449872   0.04723121
  0.04063972]"
153,Dropping a cigarette pack on a table.,new_clips2/153.mp3,trash,"[-0.00060537 -0.00166736 -0.00101805 ...  0.00154169  0.0014724
  0.00150416]"
154,Dropping a paper ball many times on the floor.,new_clips2/154.mp3,paper,"[-0.00533707 -0.00544852 -0.00552966 ... -0.00105923  0.00696151
  0.00774179]"
155,Dropping a large box many times on a hard surface.,new_clips2/155.mp3,cardboard,[0.02587206 0.06943741 0.03929859 ... 0.05948673 0.04858904 0.05059064]
156,"Crumpling a piece of paper into a small ball, then dropping it on the floor.",new_clips2/156.mp3,paper,"[-0.00168665 -0.02163344 -0.02490842 ... -0.01682744 -0.02972473
 -0.03101176]"
157,Short movement of the container crane with alarm then container is dropped.,new_clips2/157.mp3,trash,"[-0.0151661  -0.02223264 -0.03579264 ...  0.01826324  0.02148338
  0.03390654]"
158,"Spreader of container crane is lowered, then movement of the container crane with warble alarm and ...",new_clips2/158.mp3,trash,"[-0.2520518  -0.287449   -0.32046244 ...  0.32114258  0.30515927
  0.3058857 ]"
159,Spreader of container crane is lowered and container is dropped with metallic impact.,new_clips2/159.mp3,metal,"[ 0.02660112  0.04637774  0.06448892 ... -0.06667519 -0.08342447
 -0.10277289]"
160,Spreader of container crane is lowered and then container is dropped in distance.,new_clips2/160.mp3,trash,"[ 0.02015632 -0.00706934  0.03456539 ... -0.02696048 -0.03708957
 -0.04619414]"
161,Trash bag dropping hard with a rustle 3.,new_clips2/161.mp3,trash,"[ 0.06170355  0.04701243  0.07456992 ... -0.01713749  0.091474
 -0.04577275]"
162,Trash bag dropping hard with a rustle 2.,new_clips2/162.mp3,trash,"[-0.03088393  0.05178151  0.15853322 ... -0.00415967  0.12419767
 -0.0430244 ]"
163,Trash bag dropping hard with a rustle 1.,new_clips2/163.mp3,trash,"[-8.99885257e-04 -5.21144867e-02 -6.24836124e-02 ...  7.98089823e-05
  1.08467825e-02  5.03460085e-03]"
164,Mug dropping and clattering.,new_clips2/164.mp3,trash,"[-0.02465684 -0.02483986 -0.02467634 ...  0.03817263  0.03827679
  0.03067494]"
165,Large empty cardboard box being dropped 2.,new_clips2/165.mp3,cardboard,[0.09387623 0.09425782 0.09369092 ... 0.17484082 0.16084802 0.13893718]
166,Large empty cardboard box being dropped 1.,new_clips2/166.mp3,cardboard,"[ 0.00099953 -0.00744383  0.00842571 ...  0.00149234 -0.01097003
  0.00496287]"
167,Handgun 9mm shells dropping with a clatter 6.,new_clips2/167.mp3,trash,"[ 0.00188581  0.00580752  0.00386091 ... -0.00084201 -0.00138153
  0.00132471]"
168,Handgun 9mm shells dropping with a clatter 5.,new_clips2/168.mp3,trash,"[ 0.00132258 -0.00115945 -0.00225633 ...  0.00021113  0.00064156
  0.00038014]"
169,Handgun 9mm shells dropping with a clatter 4.,new_clips2/169.mp3,trash,"[-0.00295123  0.0032241  -0.00477379 ... -0.00389755 -0.00391349
 -0.00044067]"
170,Handgun 9mm shells dropping with a clatter 3.,new_clips2/170.mp3,trash,"[-0.00074043  0.00201392 -0.00402884 ... -0.00567013  0.00385988
  0.00167328]"
